Institution,Rank_earned_doct,Percentile_earned_doct,Rank_full_time_grad,Percentile_full_time_grad,Rank_tot_rd,Percentile_tot_rd,Rank_research_space,Percentile_research_space
Syracuse U.,118,26.9,83,12.8,144,16.6,233,40.5
Tarleton State U.,0,0.0,401,58.4,290,32.5,426,73.3
Taylor U.,0,0.0,0,0.0,881,97.0,0,0.0
"Teachers C., Columbia U.",146,33.1,102,15.5,259,29.1,382,65.8
Temple U.,78,18.1,105,15.9,90,10.7,147,25.8
Tennessee State U.,253,56.8,331,48.4,247,27.8,256,44.4
Tennessee Technological U.,293,65.7,483,70.2,307,34.4,315,54.4
Texas A&M International U.,0,0.0,602,87.2,457,50.7,459,78.9
Texas A&M U.,0,0.0,6,1.7,0,0.0,0,0.0
"Texas A&M U., College Station",6,2.1,0,0.0,0,0.0,0,0.0
"Texas A&M U., College Station and Health Science Center",0,0.0,0,0.0,16,2.6,5,1.7
Texas A&M U.-Central Texas,0,0.0,687,99.4,686,75.7,0,0.0
Texas A&M U.-Commerce,284,63.7,323,47.2,452,50.2,455,78.2
Texas A&M U.-Corpus Christi,320,71.7,308,45.1,238,26.8,279,48.3
Texas A&M U.-Kingsville,348,77.9,233,34.3,265,29.8,370,63.8
Texas A&M U.-San Antonio,0,0.0,563,81.6,602,66.5,0,0.0
Texas Chiropractic C.,0,0.0,0,0.0,890,97.9,0,0.0
Texas Christian U.,244,54.8,340,49.6,308,34.5,312,53.9
Texas Southern U.,301,67.4,430,62.6,348,38.8,392,67.5
Texas State U.,209,47.1,148,22.1,176,20.1,208,36.2
Texas Tech U.,41,9.9,61,9.6,127,14.7,94,16.8
Texas Tech U. Health Sciences Center,308,69.0,0,0.0,222,25.1,210,36.6
"Texas Tech U. Health Sciences Center, El Paso",0,0.0,0,0.0,334,37.3,311,53.7
Texas Woman's U.,159,36.0,225,33.1,415,46.1,386,66.5
Thomas Jefferson U.,301,67.4,361,52.7,123,14.3,181,31.6
Tiffin U.,0,0.0,538,78.1,0,0.0,0,0.0
Tougaloo C.,0,0.0,690,99.9,535,59.2,576,98.8
Touro C.,0,0.0,288,42.2,791,87.1,0,0.0
Touro U.,0,0.0,0,0.0,466,51.7,562,96.4
"Touro U., Vallejo",0,0.0,340,49.6,0,0.0,0,0.0
Towson U.,334,74.8,265,38.9,454,50.4,358,61.7
"Toyota Technological Institute, Chicago",405,90.5,569,82.5,414,46.0,572,98.1
"Trinity C., Hartford",0,0.0,672,97.3,563,62.3,468,80.4
Trinity U.,0,0.0,0,0.0,487,54.0,429,73.8
Troy U.,0,0.0,269,39.5,583,64.5,529,90.8
Truman State U.,0,0.0,579,83.9,874,96.2,0,0.0
Tufts U.,0,0.0,63,9.9,110,12.9,97,17.3
"Tufts U., Medford",134,30.5,0,0.0,0,0.0,0,0.0
Tulane U.,128,29.1,100,15.2,119,13.9,57,10.5
Tuskegee U.,386,86.3,427,62.1,273,30.7,176,30.8
"U. Akron, Akron",122,27.8,0,0.0,0,0.0,0,0.0
"U. Akron, The",0,0.0,216,31.9,294,33.0,171,29.9
"U. Alabama, The, Birmingham",113,25.8,107,16.2,44,5.7,74,13.4
"U. Alabama, The, Huntsville",225,50.6,248,36.4,145,16.7,189,33.0
"U. Alabama, The, Tuscaloosa",108,24.7,123,18.5,150,17.3,187,32.6
"U. Alaska, Anchorage",372,83.2,499,72.5,274,30.8,350,60.4
"U. Alaska, Fairbanks",237,53.3,354,51.7,137,15.8,83,15.0
"U. Alaska, Southeast",0,0.0,0,0.0,615,67.9,552,94.7
"U. Ana G. Mendez, Carolina",0,0.0,0,0.0,729,80.4,0,0.0
"U. Ana G. Méndez, Cupey",0,0.0,0,0.0,698,77.0,0,0.0
"U. Ana G. Méndez, Gurabo",0,0.0,481,69.9,580,64.1,505,86.7
U. Arizona,40,9.6,52,8.3,36,4.8,36,7.0
U. Arkansas for Medical Sciences,304,68.1,358,52.2,129,15.0,209,36.4
"U. Arkansas, Fayetteville",91,20.9,162,24.1,140,16.2,82,14.8
"U. Arkansas, Little Rock",218,49.1,346,50.5,371,41.3,326,56.3
"U. Arkansas, Monticello",0,0.0,677,98.0,0,0.0,0,0.0
"U. Arkansas, Pine Bluff",0,0.0,602,87.2,356,39.7,331,57.1
U. Baltimore,0,0.0,474,68.9,315,35.2,469,80.6
U. Bridgeport,325,72.8,354,51.7,0,0.0,0,0.0
"U. California, Berkeley",4,1.7,9,2.2,32,4.4,21,4.4
"U. California, Davis",26,6.5,32,5.5,34,4.6,8,2.2
"U. California, Irvine",37,9.0,41,6.7,55,6.9,40,7.6
"U. California, Los Angeles",12,3.4,10,2.3,6,1.6,11,2.7
"U. California, Merced",200,45.1,197,29.1,213,24.1,135,23.8
"U. California, Office of the President",0,0.0,0,0.0,203,23.0,0,0.0
"U. California, Riverside",65,15.2,64,10.0,133,15.4,55,10.2
"U. California, San Diego",23,5.9,22,4.0,7,1.7,10,2.5
"U. California, San Francisco",124,28.2,142,21.2,2,1.1,30,5.9
"U. California, Santa Barbara",57,13.4,71,11.0,104,12.2,72,13.1
"U. California, Santa Cruz",102,23.4,95,14.5,142,16.4,108,19.2
U. Central Arkansas,330,73.9,404,58.8,446,49.5,351,60.5
U. Central Florida,61,14.3,60,9.5,112,13.1,101,18.0
U. Central Missouri,0,0.0,150,22.4,762,84.0,0,0.0
U. Central Oklahoma,0,0.0,343,50.1,394,43.9,475,81.6
U. Charleston,0,0.0,0,0.0,389,43.3,0,0.0
"U. Chicago, The",28,7.0,30,5.2,56,7.0,50,9.3
U. Cincinnati,0,0.0,65,10.2,51,6.5,87,15.6
"U. Cincinnati, Uptown West Campus",81,18.7,0,0.0,0,0.0,0,0.0
U. Colorado,0,0.0,11,2.4,0,0.0,0,0.0
U. Colorado Anschutz Medical Campus,0,0.0,0,0.0,49,6.2,69,12.6
U. Colorado Boulder,36,8.8,0,0.0,52,6.6,61,11.2
U. Colorado Colorado Springs,254,57.0,0,0.0,404,44.9,253,43.9
U. Colorado Denver,121,27.6,0,0.0,289,32.4,0,0.0
U. Connecticut,0,0.0,53,8.5,88,10.5,67,12.2
"U. Connecticut, Storrs",57,13.4,0,0.0,0,0.0,0,0.0
U. Dallas,364,81.4,501,72.7,865,95.2,0,0.0
U. Dayton,267,59.9,131,19.7,132,15.3,141,24.8
U. Delaware,89,20.5,72,11.2,109,12.8,144,25.3
U. Denver,162,36.7,97,14.8,226,25.5,296,51.2
U. Detroit Mercy,354,79.2,444,64.6,426,47.3,507,87.1
U. District of Columbia,0,0.0,400,58.3,362,40.4,380,65.5
U. Evansville,0,0.0,0,0.0,853,93.9,0,0.0
U. Florida,8,2.6,19,3.6,27,3.8,1,1.0
U. Georgia,34,8.3,54,8.6,57,7.1,2,1.2
U. Guam,0,0.0,578,83.8,291,32.6,324,55.9
U. Hartford,430,96.0,440,64.0,609,67.3,433,74.5
"U. Hawaii, Hilo",430,96.0,513,74.5,370,41.2,343,59.2
"U. Hawaii, Manoa",117,26.7,106,16.1,99,11.7,107,19.0
"U. Hawaii, Maui C.",0,0.0,0,0.0,649,71.7,0,0.0
"U. Hawaii, system office",0,0.0,0,0.0,328,36.7,0,0.0
U. Houston,47,11.2,68,10.6,121,14.1,103,18.4
"U. Houston, System Administration",0,0.0,0,0.0,753,83.0,0,0.0
U. Houston-Clear Lake,0,0.0,207,30.6,571,63.2,511,87.8
U. Houston-Downtown,0,0.0,0,0.0,559,61.8,0,0.0
U. Houston-Victoria,0,0.0,468,68.0,0,0.0,0,0.0
U. Idaho,170,38.4,203,30.0,167,19.1,143,25.2
"U. Illinois, Chicago",54,12.7,45,7.3,63,7.8,64,11.7
"U. Illinois, Springfield",0,0.0,322,47.1,501,55.5,555,95.2
"U. Illinois, Urbana-Champaign",11,3.2,5,1.6,37,4.9,7,2.0
U. Incarnate Word,334,74.8,502,72.9,543,60.1,423,72.8
U. Indianapolis,0,0.0,465,67.6,0,0.0,0,0.0
U. Iowa,60,14.1,92,14.1,50,6.3,100,17.8
U. Kansas,76,17.6,87,13.3,72,8.7,75,13.6
U. Kentucky,51,12.1,81,12.5,64,7.9,13,3.0
U. La Verne,0,0.0,448,65.1,0,0.0,0,0.0
U. Louisiana at Lafayette,221,49.7,223,32.9,135,15.6,80,14.4
"U. Louisiana, Monroe",308,69.0,332,48.5,529,58.6,377,65.0
U. Louisville,118,26.9,143,21.4,124,14.4,120,21.2
U. Lynchburg,0,0.0,0,0.0,908,99.9,0,0.0
U. MA central office,0,0.0,0,0.0,462,51.3,0,0.0
U. Maine,188,42.4,164,24.4,146,16.8,99,17.7
U. Maine Farmington,0,0.0,0,0.0,643,71.0,0,0.0
U. Mary Hardin Baylor,0,0.0,622,90.1,0,0.0,0,0.0
U. Mary Washington,0,0.0,0,0.0,625,69.0,0,0.0
U. Maryland Center for Environmental Science,0,0.0,0,0.0,202,22.9,203,35.4
"U. Maryland, Baltimore",185,41.8,0,0.0,0,0.0,0,0.0
"U. Maryland, Baltimore County",153,34.7,139,20.8,171,19.5,162,28.4
"U. Maryland, College Park",22,5.7,23,4.2,0,0.0,0,0.0
"U. Maryland, Eastern Shore",316,70.8,597,86.5,357,39.8,305,52.7
"U. Maryland, The",0,0.0,0,0.0,17,2.7,31,6.1
"U. Maryland, U. C.",0,0.0,563,81.6,0,0.0,0,0.0
"U. Massachusetts, Amherst",67,15.6,50,8.0,115,13.4,105,18.7
"U. Massachusetts, Boston",153,34.7,191,28.3,187,21.3,270,46.8
"U. Massachusetts, Dartmouth",248,55.7,306,44.8,242,27.3,348,60.0
"U. Massachusetts, Lowell",145,32.9,159,23.7,169,19.3,158,27.7
"U. Massachusetts, Medical School",224,50.4,277,40.6,80,9.6,73,13.3
"U. Memphis, The",127,28.9,160,23.8,181,20.6,178,31.1
U. Miami,85,19.6,78,12.1,75,9.1,155,27.2
U. Michigan,0,0.0,1,1.0,0,0.0,0,0.0
"U. Michigan, Ann Arbor",3,1.4,0,0.0,3,1.2,28,5.6
"U. Michigan, Dearborn",386,86.3,0,0.0,369,41.1,425,73.1
"U. Michigan, Flint",0,0.0,432,62.8,695,76.7,0,0.0
U. Minnesota,0,0.0,21,3.9,0,0.0,0,0.0
"U. Minnesota, Duluth",0,0.0,0,0.0,262,29.5,221,38.4
"U. Minnesota, Morris",0,0.0,0,0.0,670,73.9,0,0.0
"U. Minnesota, Rochester",0,0.0,0,0.0,701,77.3,0,0.0
"U. Minnesota, Twin Cities",15,4.1,0,0.0,22,3.3,3,1.3
"U. Mississippi, Oxford",138,31.3,0,0.0,0,0.0,0,0.0
"U. Mississippi, The",0,0.0,163,24.2,158,18.1,134,23.6
"U. Missouri, Columbia",64,15.0,122,18.4,71,8.6,79,14.3
"U. Missouri, Kansas City",185,41.8,177,26.3,234,26.4,234,40.6
"U. Missouri, Saint Louis",211,47.5,367,53.5,316,35.3,285,49.3
U. Montana,0,0.0,257,37.7,0,0.0,0,0.0
"U. Montana, Missoula",211,47.5,0,0.0,155,17.8,191,33.3
U. Montevallo,0,0.0,535,77.6,0,0.0,0,0.0
"U. Nebraska, Kearney",0,0.0,479,69.6,475,52.7,409,70.4
"U. Nebraska, Lincoln",74,17.2,94,14.3,87,10.4,41,7.8
"U. Nebraska, Medical Center",185,41.8,300,43.9,122,14.2,127,22.4
"U. Nebraska, Omaha",293,65.7,297,43.5,282,31.6,399,68.7
"U. Nebraska, central administration",0,0.0,0,0.0,275,30.9,0,0.0
"U. Nevada, Las Vegas",139,31.6,172,25.5,168,19.2,197,34.3
"U. Nevada, Reno",115,26.3,120,18.1,136,15.7,126,22.3
U. New England,0,0.0,289,42.3,388,43.2,441,75.9
U. New Hampshire,0,0.0,158,23.5,138,15.9,157,27.5
"U. New Hampshire, Durham",175,39.5,0,0.0,0,0.0,0,0.0
U. New Haven,417,93.1,145,21.7,443,49.2,504,86.6
U. New Mexico,0,0.0,102,15.5,81,9.7,111,19.7
"U. New Mexico, Albuquerque",105,24.0,0,0.0,0,0.0,0,0.0
U. New Orleans,234,52.6,362,52.8,295,33.1,300,51.9
U. North Alabama,0,0.0,529,76.8,745,82.1,0,0.0
"U. North Carolina, The, Asheville",0,0.0,0,0.0,418,46.5,486,83.5
"U. North Carolina, The, Chapel Hill",30,7.4,36,6.0,13,2.3,47,8.8
"U. North Carolina, The, Charlotte",114,26.0,113,17.1,199,22.6,174,30.4
"U. North Carolina, The, Greensboro",153,34.7,202,29.8,229,25.9,241,41.8
"U. North Carolina, The, Pembroke",0,0.0,0,0.0,869,95.6,0,0.0
"U. North Carolina, The, Wilmington",405,90.5,273,40.0,298,33.4,309,53.4
"U. North Carolina, general administration",0,0.0,0,0.0,444,49.3,0,0.0
U. North Dakota,178,40.2,224,33.0,148,17.0,183,32.0
U. North Florida,0,0.0,360,52.5,304,34.0,244,42.3
U. North Georgia,0,0.0,0,0.0,590,65.2,0,0.0
"U. North Texas, Denton",86,19.8,67,10.5,174,19.9,220,38.3
"U. North Texas, Health Science Center",316,70.8,199,29.4,204,23.1,172,30.1
U. Northern Colorado,171,38.7,257,37.7,477,52.9,422,72.6
U. Northern Iowa,405,90.5,375,54.7,473,52.5,329,56.8
U. Notre Dame,75,17.4,91,13.9,106,12.5,117,20.7
"U. Oklahoma, Norman",80,18.5,0,0.0,0,0.0,0,0.0
"U. Oklahoma, Norman and Health Science Center",0,0.0,104,15.8,74,9.0,60,11.0
"U. Oklahoma, The, Tulsa",0,0.0,0,0.0,374,41.7,495,85.0
U. Oregon,103,23.6,128,19.2,149,17.1,131,23.1
U. Pacific,364,81.4,423,61.6,594,65.7,396,68.2
U. Pennsylvania,28,7.0,57,9.0,4,1.3,29,5.8
U. Pittsburgh,0,0.0,40,6.6,0,0.0,0,0.0
"U. Pittsburgh, Pittsburgh",43,10.3,0,0.0,18,2.9,32,6.3
U. Portland,0,0.0,665,96.3,704,77.7,0,0.0
"U. Puerto Rico, Aguadilla",0,0.0,0,0.0,717,79.1,0,0.0
"U. Puerto Rico, Cayey",0,0.0,0,0.0,553,61.2,541,92.9
"U. Puerto Rico, Humacao",0,0.0,0,0.0,599,66.2,487,83.7
"U. Puerto Rico, Mayaguez",320,71.7,198,29.3,287,32.2,200,34.9
"U. Puerto Rico, Medical Sciences Campus",348,77.9,212,31.3,217,24.6,151,26.5
"U. Puerto Rico, Ponce",0,0.0,0,0.0,736,81.1,0,0.0
"U. Puerto Rico, Rio Piedras",279,62.6,205,30.3,240,27.1,276,47.8
U. Puget Sound,0,0.0,0,0.0,613,67.7,0,0.0
U. Rhode Island,167,37.8,168,25.0,151,17.4,195,34.0
U. Richmond,0,0.0,0,0.0,522,57.8,295,51.0
U. Rochester,90,20.7,93,14.2,67,8.2,78,14.1
U. Saint Joseph,0,0.0,499,72.5,0,0.0,0,0.0
U. Saint Mary,0,0.0,540,78.3,0,0.0,0,0.0
U. San Diego,256,57.5,319,46.6,368,41.0,458,78.7
U. San Francisco,260,58.4,188,27.8,593,65.6,513,88.1
"U. Sciences, Philadelphia",297,66.6,475,69.0,445,49.4,393,67.7
U. Scranton,0,0.0,440,64.0,721,79.5,0,0.0
U. South Alabama,243,54.6,250,36.7,209,23.7,226,39.3
U. South Carolina Upstate,0,0.0,101,15.4,761,83.9,0,0.0
"U. South Carolina, Aiken",0,0.0,609,88.2,540,59.8,464,79.8
"U. South Carolina, Beaufort",0,0.0,0,0.0,645,71.2,0,0.0
"U. South Carolina, Columbia",82,18.9,0,0.0,113,13.2,95,17.0
"U. South Dakota, The",248,55.7,257,37.7,245,27.6,381,65.6
U. South Florida,55,13.0,44,7.2,68,8.3,85,15.3
U. Southern California,35,8.5,3,1.3,28,3.9,58,10.7
U. Southern Indiana,0,0.0,0,0.0,903,99.4,0,0.0
U. Southern Maine,386,86.3,0,0.0,401,44.6,558,95.8
"U. Southern Mississippi, The",153,34.7,182,27.0,180,20.5,112,19.9
"U. St. Thomas, Houston",405,90.5,0,0.0,0,0.0,0,0.0
"U. Tampa, The",0,0.0,0,0.0,740,81.6,0,0.0
"U. Tennessee, The, Chattanooga",405,90.5,373,54.4,335,37.4,316,54.6
"U. Tennessee, The, Health Science Center",260,58.4,296,43.3,162,18.6,170,29.8
"U. Tennessee, The, Knoxville",45,10.7,115,17.4,85,10.2,46,8.7
"U. Tennessee, The, Martin",0,0.0,0,0.0,891,98.0,0,0.0
"U. Texas Health Science Center, The, Houston",136,30.9,117,17.6,86,10.3,138,24.3
"U. Texas Health Science Center, The, San Antonio",216,48.6,281,41.2,111,13.0,115,20.4
"U. Texas Health Science Center, The, Tyler",0,0.0,0,0.0,244,27.5,400,68.9
"U. Texas M. D. Anderson Cancer Center, The",0,0.0,0,0.0,19,3.0,45,8.5
U. Texas Medical Branch,221,49.7,399,58.1,134,15.5,149,26.2
"U. Texas Rio Grande Valley, The",330,73.9,210,31.0,191,21.7,239,41.5
"U. Texas Southwestern Medical Center, The",192,43.3,217,32.0,46,5.9,53,9.9
U. Texas of the Permian Basin,0,0.0,488,70.9,465,51.6,0,0.0
"U. Texas, The, Arlington",79,18.3,58,9.2,152,17.5,132,23.3
"U. Texas, The, Austin",9,2.8,20,3.7,35,4.7,44,8.3
"U. Texas, The, Dallas",71,16.5,39,6.5,154,17.7,109,19.4
"U. Texas, The, El Paso",178,40.2,167,24.8,163,18.7,159,27.9
"U. Texas, The, San Antonio",116,26.5,144,21.5,147,16.9,212,36.9
"U. Texas, The, Tyler",0,0.0,301,44.0,525,58.1,467,80.3
"U. Toledo, The",132,30.0,194,28.7,196,22.3,133,23.5
U. Tulsa,225,50.6,266,39.0,300,33.6,269,46.6
"U. Utah, The",52,12.3,47,7.6,47,6.0,35,6.8
U. Vermont,190,42.9,189,28.0,128,14.9,168,29.4
U. Virgin Islands,0,0.0,559,81.1,309,34.6,540,92.7
U. Virginia,0,0.0,56,8.9,0,0.0,0,0.0
"U. Virginia's C., Wise",0,0.0,0,0.0,470,52.1,0,0.0
"U. Virginia, Charlottesville",56,13.2,0,0.0,48,6.1,52,9.7
U. Washington,0,0.0,12,2.6,0,0.0,0,0.0
"U. Washington, Bothell",0,0.0,0,0.0,359,40.0,553,94.9
"U. Washington, Seattle",13,3.7,0,0.0,5,1.4,25,5.1
"U. Washington, Tacoma",0,0.0,0,0.0,437,48.5,551,94.6
U. West,417,93.1,0,0.0,0,0.0,0,0.0
"U. West Alabama, The",0,0.0,554,80.3,871,95.9,0,0.0
U. West Florida,308,69.0,377,55.0,230,26.0,430,74.0
U. West Georgia,386,86.3,433,63.0,760,83.8,0,0.0
U. Wisconsin-Eau Claire,0,0.0,506,73.5,557,61.6,373,64.3
U. Wisconsin-Green Bay,0,0.0,606,87.8,554,61.3,502,86.2
U. Wisconsin-La Crosse,0,0.0,476,69.2,480,53.2,493,84.7
U. Wisconsin-Madison,10,3.0,25,4.4,8,1.8,6,1.9
U. Wisconsin-Milwaukee,107,24.5,108,16.4,194,22.0,150,26.4
U. Wisconsin-Oshkosh,0,0.0,658,95.3,576,63.7,333,57.5
U. Wisconsin-Parkside,0,0.0,628,91.0,0,0.0,0,0.0
U. Wisconsin-Platteville,0,0.0,677,98.0,619,68.4,0,0.0
U. Wisconsin-River Falls,0,0.0,0,0.0,642,70.9,0,0.0
U. Wisconsin-Stevens Point,0,0.0,495,71.9,433,48.1,431,74.1
U. Wisconsin-Stout,0,0.0,502,72.9,801,88.2,0,0.0
U. Wisconsin-Superior,0,0.0,0,0.0,502,55.6,339,58.5
U. Wisconsin-Whitewater,0,0.0,547,79.3,694,76.6,0,0.0
U. Wyoming,164,37.1,166,24.7,170,19.4,91,16.3
U. of Health Sciences and Pharmacy in St. Louis,0,0.0,0,0.0,408,45.4,491,84.4
U. of St. Thomas (MN),0,0.0,0,0.0,405,45.1,530,91.0
U.S. Air Force Academy,0,0.0,0,0.0,237,26.7,0,0.0
U.S. Army War C.,0,0.0,0,0.0,422,46.9,0,0.0
U.S. Coast Guard Academy,0,0.0,0,0.0,904,99.5,0,0.0
U.S. Military Academy,0,0.0,0,0.0,280,31.4,0,0.0
U.S. Naval Academy,0,0.0,0,0.0,338,37.7,0,0.0
Uniformed Services University of the Health Sciences,308,69.0,275,40.3,73,8.9,0,0.0
"Union C., Schenectady",0,0.0,0,0.0,592,65.4,0,0.0
Union Theological Seminary,405,90.5,0,0.0,0,0.0,0,0.0
United Tribes Technical C.,0,0.0,0,0.0,785,86.5,0,0.0
Universidad Central del Caribe,405,90.5,623,90.2,451,50.1,490,84.2
Ursinus C.,0,0.0,0,0.0,676,74.6,0,0.0
Utah State U.,0,0.0,215,31.7,84,10.1,84,15.1
"Utah State U., Logan",151,34.2,0,0.0,0,0.0,0,0.0
Utah Valley U.,0,0.0,0,0.0,618,68.3,0,0.0
Utica C.,0,0.0,0,0.0,772,85.1,0,0.0
Valdosta State U.,0,0.0,398,58.0,790,87.0,0,0.0
Valparaiso U.,0,0.0,430,62.6,659,72.7,0,0.0
Van Andel Research Institute,354,79.2,563,81.6,183,20.8,288,49.8
Vanderbilt U.,66,15.4,82,12.6,24,3.5,62,11.4
Vanguard University of Southern California,0,0.0,579,83.9,0,0.0,0,0.0
Vassar C.,0,0.0,0,0.0,579,64.0,362,62.4
Villanova U.,257,57.7,244,35.9,256,28.8,321,55.4
Virginia Commonwealth U.,99,22.7,136,20.4,76,9.2,104,18.5
Virginia Military Institute,0,0.0,0,0.0,597,66.0,0,0.0
Virginia Polytechnic Institute and State U.,26,6.5,37,6.2,54,6.8,39,7.5
Virginia State U.,0,0.0,540,78.3,342,38.2,383,66.0
Wagner C.,0,0.0,658,95.3,0,0.0,0,0.0
Wake Forest U.,214,48.2,230,33.9,102,12.0,20,4.2
Walden U.,1,1.0,0,0.0,0,0.0,0,0.0
Walla Walla U.,0,0.0,677,98.0,0,0.0,0,0.0
Washington State U.,70,16.3,88,13.5,78,9.4,22,4.6
"Washington U., Saint Louis",68,15.8,42,6.9,25,3.6,43,8.1
Washington and Lee U.,0,0.0,0,0.0,861,94.8,0,0.0
Wayland Baptist U.,0,0.0,515,74.8,0,0.0,0,0.0
Wayne State U.,103,23.6,96,14.6,108,12.7,68,12.4
Weber State U.,0,0.0,433,63.0,681,75.1,0,0.0
Wellesley C.,0,0.0,0,0.0,387,43.1,319,55.1
Wesley College,0,0.0,687,99.4,0,0.0,0,0.0
Wesleyan U.,348,77.9,444,64.6,363,40.5,302,52.2
West Chester U. Pennsylvania,0,0.0,309,45.2,432,48.0,428,73.6
West Liberty U.,0,0.0,0,0.0,699,77.1,0,0.0
West Texas A&M U.,430,96.0,443,64.4,344,38.4,349,60.2
West Virginia School of Osteopathic Medicine,0,0.0,0,0.0,608,67.2,214,37.2
West Virginia State U.,0,0.0,628,91.0,382,42.5,447,76.9
West Virginia U.,95,21.8,97,14.8,125,14.5,118,20.9
Western Carolina U.,0,0.0,419,61.0,489,54.2,405,69.7
Western Colorado U.,0,0.0,461,67.0,737,81.3,0,0.0
Western Connecticut State U.,0,0.0,653,94.6,822,90.5,0,0.0
Western Illinois U.,0,0.0,226,33.3,464,51.5,287,49.7
Western Kentucky U.,0,0.0,326,47.6,376,41.9,294,50.8
Western Michigan U.,131,29.8,152,22.7,0,0.0,0,0.0
Western Michigan U. and Homer Stryker M.D. School of Medicine,0,0.0,0,0.0,253,28.5,336,58.0
Western New England U.,396,88.5,563,81.6,545,60.3,0,0.0
Western U. Health Sciences,0,0.0,597,86.5,379,42.2,432,74.3
Western Washington U.,0,0.0,327,47.8,325,36.3,286,49.5
Westminster Theological Seminary,364,81.4,0,0.0,0,0.0,0,0.0
Westmont C.,0,0.0,0,0.0,847,93.2,0,0.0
"Wheaton C., Norton",0,0.0,0,0.0,895,98.5,0,0.0
"Wheaton C., Wheaton",396,88.5,0,0.0,702,77.4,521,89.5
Whitman C.,0,0.0,0,0.0,635,70.1,0,0.0
Whittier C.,0,0.0,0,0.0,842,92.7,0,0.0
Whitworth U.,0,0.0,0,0.0,803,88.4,0,0.0
Wichita State U.,254,57.0,179,26.5,131,15.2,51,9.5
"Widener U., Chester",271,60.8,597,86.5,793,87.4,0,0.0
Wilkes U.,0,0.0,661,95.7,812,89.4,0,0.0
Willamette U.,0,0.0,0,0.0,560,62.0,0,0.0
William & Mary,203,45.7,261,38.3,179,20.4,175,30.6
William Carey U.,0,0.0,454,66.0,0,0.0,0,0.0
William Paterson U.,0,0.0,425,61.8,365,40.7,371,63.9
Williams C.,0,0.0,609,88.2,417,46.4,460,79.1
Winston-Salem State U.,0,0.0,674,97.6,361,40.3,533,91.5
Winthrop U.,0,0.0,559,81.1,503,55.7,531,91.2
Wittenberg U.,0,0.0,0,0.0,780,85.9,0,0.0
Woods Hole Oceanographic Institution,0,0.0,0,0.0,103,12.1,166,29.1
Worcester Polytechnic Institute,192,43.3,173,25.7,208,23.6,264,45.7
Worcester State U.,0,0.0,449,65.3,0,0.0,0,0.0
Wright State U.,0,0.0,147,22.0,250,28.2,250,43.4
"Wright State U., Dayton",225,50.6,0,0.0,0,0.0,0,0.0
Xavier U.,0,0.0,617,89.4,0,0.0,0,0.0
Xavier U. Louisiana,0,0.0,0,0.0,330,36.9,394,67.9
Yale U.,33,8.1,70,10.9,15,2.5,16,3.6
Yeshiva U.,271,60.8,345,50.4,403,44.8,516,88.6
Youngstown State U.,430,96.0,416,60.5,492,54.5,258,44.7
,,,,,,,,
NOTES:,,,,,,,,
The population of reporting institutions and levels of reporting differ across surveys and across years.,,,,,,,,
For more information see Technical notes.,,,,,,,,
Tied institutions are ranked alike and listed alphabetically. NCSES source data may rank tied institutions alphabetically.,,,,,,,,
Unallocated in an institution name indicates funds that cannot be allocated to individual campuses or schools within an,,,,,,,,
institution.,,,,,,,,
